iter	Passed	Remaining
0	2	2045
1	5	2927
2	7	2518
3	9	2410
4	12	2447
5	17	2890
6	19	2720
7	20	2603
8	22	2467
9	23	2359
10	25	2265
11	26	2187
12	29	2262
13	32	2279
14	33	2224
15	35	2188
16	37	2174
17	39	2128
18	40	2091
19	41	2057
20	43	2038
21	45	2015
22	46	1959
23	47	1932
24	48	1906
25	50	1883
26	51	1858
27	53	1842
28	54	1825
29	56	1813
30	57	1798
31	58	1783
32	60	1769
33	61	1757
34	63	1747
35	64	1734
36	66	1720
37	67	1705
38	68	1690
39	69	1678
40	71	1676
41	73	1668
42	74	1659
43	75	1649
44	77	1636
45	78	1626
46	79	1619
47	81	1610
48	82	1600
49	83	1591
50	85	1593
51	86	1586
52	88	1577
53	89	1571
54	91	1563
55	92	1555
56	93	1547
57	94	1540
58	96	1533
59	97	1528
60	98	1521
61	100	1522
62	102	1520
63	103	1514
64	104	1508
65	106	1502
66	107	1500
67	109	1495
68	110	1489
69	111	1483
70	113	1478
71	114	1480
72	116	1477
73	117	1472
74	119	1469
75	120	1465
76	121	1460
77	123	1456
78	124	1453
79	125	1448
80	127	1443
81	128	1439
82	130	1442
83	132	1442
84	134	1444
85	135	1440
86	137	1437
87	138	1435
88	139	1431
89	141	1427
90	142	1424
91	144	1426
92	145	1423
93	147	1419
94	148	1415
95	149	1411
96	151	1411
97	152	1407
98	154	1404
99	155	1400
100	156	1396
101	158	1395
102	160	1394
103	161	1392
104	162	1388
105	164	1385
106	165	1381
107	167	1383
108	169	1387
109	171	1387
110	173	1392
111	175	1392
112	177	1397
113	180	1403
114	182	1406
115	187	1430
116	191	1448
117	194	1451
118	195	1450
119	198	1452
120	200	1454
121	202	1456
122	204	1457
123	207	1464
124	208	1461
125	210	1458
126	211	1454
127	213	1452
128	214	1449
129	216	1447
130	220	1461
131	221	1458
132	223	1454
133	224	1450
134	225	1446
135	227	1442
136	228	1439
137	230	1436
138	232	1438
139	233	1435
140	235	1432
141	236	1428
142	237	1425
143	239	1421
144	240	1418
145	241	1414
146	243	1410
147	244	1407
148	246	1407
149	248	1405
150	249	1402
151	250	1399
152	252	1395
153	253	1392
154	254	1389
155	256	1386
156	257	1383
157	258	1380
158	260	1380
159	262	1378
160	264	1376
161	265	1374
162	267	1371
163	268	1368
164	269	1365
165	271	1362
166	272	1359
167	273	1356
168	276	1357
169	277	1355
170	279	1353
171	280	1350
172	281	1347
173	283	1344
174	284	1341
175	285	1338
176	287	1335
177	288	1332
